id,image,label
912,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_42.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_42_mask.tif
913,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_43.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_43_mask.tif
914,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_44.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_44_mask.tif
915,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_45.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_45_mask.tif
916,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_46.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_46_mask.tif
917,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_47.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_47_mask.tif
918,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_48.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_48_mask.tif
919,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_49.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_49_mask.tif
920,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_5.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_5_mask.tif
921,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_50.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_50_mask.tif
922,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_51.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_51_mask.tif
923,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_52.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_52_mask.tif
924,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_53.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_53_mask.tif
925,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_6.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_6_mask.tif
926,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_7.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_7_mask.tif
927,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_8.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_8_mask.tif
928,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_9.tif,./archive/kaggle_3m\TCGA_DU_6404_19850629\TCGA_DU_6404_19850629_9_mask.tif
929,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_1.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_1_mask.tif
930,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_10.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_10_mask.tif
931,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_11.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_11_mask.tif
932,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_12.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_12_mask.tif
933,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_13.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_13_mask.tif
934,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_14.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_14_mask.tif
935,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_15.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_15_mask.tif
936,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_16.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_16_mask.tif
937,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_17.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_17_mask.tif
938,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_18.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_18_mask.tif
939,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_19.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_19_mask.tif
940,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_2.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_2_mask.tif
941,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_20.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_20_mask.tif
942,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_21.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_21_mask.tif
943,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_22.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_22_mask.tif
944,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_23.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_23_mask.tif
945,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_24.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_24_mask.tif
946,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_25.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_25_mask.tif
947,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_26.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_26_mask.tif
948,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_27.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_27_mask.tif
949,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_28.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_28_mask.tif
950,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_29.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_29_mask.tif
951,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_3.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_3_mask.tif
952,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_30.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_30_mask.tif
953,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_31.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_31_mask.tif
954,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_32.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_32_mask.tif
955,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_33.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_33_mask.tif
956,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_34.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_34_mask.tif
957,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_35.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_35_mask.tif
958,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_36.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_36_mask.tif
959,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_37.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_37_mask.tif
960,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_38.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_38_mask.tif
961,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_39.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_39_mask.tif
962,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_4.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_4_mask.tif
963,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_40.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_40_mask.tif
964,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_41.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_41_mask.tif
965,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_42.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_42_mask.tif
966,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_43.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_43_mask.tif
967,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_44.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_44_mask.tif
968,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_45.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_45_mask.tif
969,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_46.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_46_mask.tif
970,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_47.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_47_mask.tif
971,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_48.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_48_mask.tif
972,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_49.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_49_mask.tif
973,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_5.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_5_mask.tif
974,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_50.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_50_mask.tif
975,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_51.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_51_mask.tif
976,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_52.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_52_mask.tif
977,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_53.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_53_mask.tif
978,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_54.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_54_mask.tif
979,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_55.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_55_mask.tif
980,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_56.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_56_mask.tif
981,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_57.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_57_mask.tif
982,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_58.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_58_mask.tif
983,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_59.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_59_mask.tif
984,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_6.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_6_mask.tif
985,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_60.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_60_mask.tif
986,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_7.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_7_mask.tif
987,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_8.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_8_mask.tif
988,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_9.tif,./archive/kaggle_3m\TCGA_DU_6405_19851005\TCGA_DU_6405_19851005_9_mask.tif
989,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_1.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_1_mask.tif
990,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_10.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_10_mask.tif
991,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_11.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_11_mask.tif
992,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_12.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_12_mask.tif
993,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_13.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_13_mask.tif
994,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_14.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_14_mask.tif
995,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_15.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_15_mask.tif
996,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_16.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_16_mask.tif
997,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_17.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_17_mask.tif
998,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_18.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_18_mask.tif
999,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_19.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_19_mask.tif
1000,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_2.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_2_mask.tif
1001,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_20.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_20_mask.tif
1002,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_21.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_21_mask.tif
1003,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_22.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_22_mask.tif
1004,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_23.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_23_mask.tif
1005,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_24.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_24_mask.tif
1006,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_25.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_25_mask.tif
1007,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_26.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_26_mask.tif
1008,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_27.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_27_mask.tif
1009,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_28.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_28_mask.tif
1010,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_29.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_29_mask.tif
1011,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_3.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_3_mask.tif
1012,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_30.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_30_mask.tif
1013,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_31.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_31_mask.tif
1014,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_32.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_32_mask.tif
1015,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_33.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_33_mask.tif
1016,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_34.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_34_mask.tif
1017,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_35.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_35_mask.tif
1018,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_36.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_36_mask.tif
1019,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_37.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_37_mask.tif
1020,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_38.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_38_mask.tif
1021,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_39.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_39_mask.tif
1022,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_4.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_4_mask.tif
1023,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_40.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_40_mask.tif
1024,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_41.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_41_mask.tif
1025,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_42.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_42_mask.tif
1026,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_43.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_43_mask.tif
1027,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_44.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_44_mask.tif
1028,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_45.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_45_mask.tif
1029,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_46.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_46_mask.tif
1030,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_47.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_47_mask.tif
1031,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_48.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_48_mask.tif
1032,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_49.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_49_mask.tif
1033,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_5.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_5_mask.tif
1034,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_50.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_50_mask.tif
1035,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_51.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_51_mask.tif
1036,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_52.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_52_mask.tif
1037,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_53.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_53_mask.tif
1038,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_54.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_54_mask.tif
1039,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_55.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_55_mask.tif
1040,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_56.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_56_mask.tif
1041,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_57.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_57_mask.tif
1042,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_58.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_58_mask.tif
1043,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_6.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_6_mask.tif
1044,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_7.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_7_mask.tif
1045,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_8.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_8_mask.tif
1046,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_9.tif,./archive/kaggle_3m\TCGA_DU_6407_19860514\TCGA_DU_6407_19860514_9_mask.tif
1047,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_1.tif,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_1_mask.tif
1048,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_10.tif,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_10_mask.tif
1049,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_11.tif,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_11_mask.tif
1050,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_12.tif,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_12_mask.tif
1051,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_13.tif,./archive/kaggle_3m\TCGA_DU_6408_19860521\TCGA_DU_6408_19860521_13_mask.tif
